Canonical Type,Count,Lines,Raw Types
UNKNOWN_PATH::locationServiceInterface);,1,884,locationServiceInterface);
UNKNOWN_PATH::loyaltyPointRepositoryInterface);,1,888,loyaltyPointRepositoryInterface);
UNKNOWN_PATH::loyaltyPointServiceInterface);,1,891,loyaltyPointServiceInterface);
UNKNOWN_PATH::notificationRepositoryInterface);,1,895,notificationRepositoryInterface);
UNKNOWN_PATH::notificationServiceInterface);,1,898,notificationServiceInterface);
UNKNOWN_PATH::onBoardingRepositoryInterface);,1,902,onBoardingRepositoryInterface);
UNKNOWN_PATH::onBoardingServiceInterface);,1,905,onBoardingServiceInterface);
UNKNOWN_PATH::orderRepositoryInterface);,1,909,orderRepositoryInterface);
UNKNOWN_PATH::orderServiceInterface);,1,912,orderServiceInterface);
UNKNOWN_PATH::orderDetailsRepositoryInterface);,1,916,orderDetailsRepositoryInterface);
UNKNOWN_PATH::orderDetailsServiceInterface);,1,919,orderDetailsServiceInterface);
UNKNOWN_PATH::refundRepositoryInterface);,1,923,refundRepositoryInterface);
UNKNOWN_PATH::refundServiceInterface);,1,926,refundServiceInterface);
UNKNOWN_PATH::reOrderRepositoryInterface);,1,930,reOrderRepositoryInterface);
UNKNOWN_PATH::reOrderServiceInterface);,1,933,reOrderServiceInterface);
UNKNOWN_PATH::reviewRepositoryInterface);,1,937,reviewRepositoryInterface);
UNKNOWN_PATH::reviewServiceInterface);,1,940,reviewServiceInterface);
UNKNOWN_PATH::productDetailsRepositoryInterface);,1,944,productDetailsRepositoryInterface);
UNKNOWN_PATH::productDetailsServiceInterface);,1,947,productDetailsServiceInterface);
UNKNOWN_PATH::sellerProductRepositoryInterface);,1,951,sellerProductRepositoryInterface);
UNKNOWN_PATH::sellerProductServiceInterface);,1,954,sellerProductServiceInterface);
UNKNOWN_PATH::shopRepositoryInterface);,1,958,shopRepositoryInterface);
UNKNOWN_PATH::shopServiceInterface);,1,961,shopServiceInterface);
UNKNOWN_PATH::productRepositoryInterface);,1,965,productRepositoryInterface);
UNKNOWN_PATH::productServiceInterface);,1,968,productServiceInterface);
UNKNOWN_PATH::profileRepositoryInterface);,1,972,profileRepositoryInterface);
UNKNOWN_PATH::profileServiceInterface);,1,975,profileServiceInterface);
UNKNOWN_PATH::splashRepositoryInterface);,1,979,splashRepositoryInterface);
UNKNOWN_PATH::splashServiceInterface);,1,982,splashServiceInterface);
UNKNOWN_PATH::supportTicketRepositoryInterface);,1,986,supportTicketRepositoryInterface);
UNKNOWN_PATH::supportTicketServiceInterface);,1,989,supportTicketServiceInterface);
UNKNOWN_PATH::wishListRepositoryInterface);,1,993,wishListRepositoryInterface);
UNKNOWN_PATH::wishlistServiceInterface);,1,996,wishlistServiceInterface);
UNKNOWN_PATH::walletRepositoryInterface);,1,1000,walletRepositoryInterface);
UNKNOWN_PATH::walletServiceInterface);,1,1003,walletServiceInterface);
UNKNOWN_PATH::searchProductRepositoryInterface);,1,1007,searchProductRepositoryInterface);
UNKNOWN_PATH::searchProductServiceInterface);,1,1010,searchProductServiceInterface);
UNKNOWN_PATH::restockRepositoryInterface);,1,1014,restockRepositoryInterface);
UNKNOWN_PATH::restockServiceInterface);,1,1017,restockServiceInterface);
UNKNOWN_PATH::AddressService,1,1025,AddressService
UNKNOWN_PATH::AuthService,1,1026,AuthService
UNKNOWN_PATH::BrandService,1,1029,BrandService
UNKNOWN_PATH::CartService,1,1030,CartService
UNKNOWN_PATH::CategoryService,1,1031,CategoryService
UNKNOWN_PATH::ChatService,1,1032,ChatService
UNKNOWN_PATH::LocationService,1,1047,LocationService
UNKNOWN_PATH::OrderService,1,1054,OrderService
UNKNOWN_PATH::ShopService,1,1067,ShopService
UNKNOWN_PATH::auctionCategoryRepoInterface);,1,1087,auctionCategoryRepoInterface);
UNKNOWN_PATH::auctionCategoryServiceInterface);,1,1090,auctionCategoryServiceInterface);
UNKNOWN_PATH::auctionHomeRepoInterface);,1,1096,auctionHomeRepoInterface);
UNKNOWN_PATH::auctionHomeServiceInterface);,1,1099,auctionHomeServiceInterface);
UNKNOWN_PATH::auctionSearchRepoInterface);,1,1107,auctionSearchRepoInterface);
UNKNOWN_PATH::auctionSearchServiceInterface);,1,1111,auctionSearchServiceInterface);
UNKNOWN_PATH::AddAuctionProductMediaController,2,"1116, 1687","AddAuctionProductMediaController, AddAuctionProductMediaController"
UNKNOWN_PATH::addAuctionProductRepositoryInterface);,1,1120,addAuctionProductRepositoryInterface);
UNKNOWN_PATH::addAuctionProductServiceInterface);,1,1124,addAuctionProductServiceInterface);
UNKNOWN_PATH::repoInterface);,1,1134,repoInterface);
UNKNOWN_PATH::serviceInterface);,1,1138,serviceInterface);
UNKNOWN_PATH::creatorAuctionDetailsRepoInterface);,1,1142,creatorAuctionDetailsRepoInterface);
UNKNOWN_PATH::creatorAuctionDetailsServiceInterface);,1,1146,creatorAuctionDetailsServiceInterface);
UNKNOWN_PATH::customerAuctionListRepoInterface);,1,1153,customerAuctionListRepoInterface);
UNKNOWN_PATH::customerAuctionListServiceInterface);,1,1157,customerAuctionListServiceInterface);
UNKNOWN_PATH::vatTaxRepositoryInterface);,1,1164,vatTaxRepositoryInterface);
UNKNOWN_PATH::vatTaxServiceInterface);,1,1168,vatTaxServiceInterface);
UNKNOWN_PATH::VatTaxController,1,1170,VatTaxController
UNKNOWN_PATH::aiShoppingRepositoryInterface);,1,1174,aiShoppingRepositoryInterface);
UNKNOWN_PATH::aiShoppingServiceInterface);,1,1178,aiShoppingServiceInterface);
UNKNOWN_PATH::auctionAiRepositoryInterface);,1,1185,auctionAiRepositoryInterface);
UNKNOWN_PATH::auctionAiServiceInterface);,1,1189,auctionAiServiceInterface);
UNKNOWN_PATH::auctionParticipationRepositoryInterface);,1,1197,auctionParticipationRepositoryInterface);
UNKNOWN_PATH::auctionParticipationServiceInterface);,1,1201,auctionParticipationServiceInterface);
UNKNOWN_PATH::AuctionParticipationController,1,1203,AuctionParticipationController
UNKNOWN_PATH::ParticipationAuctionDetailsServiceInterface,1,1209,ParticipationAuctionDetailsServiceInterface
UNKNOWN_PATH::ParticipationAuctionDetailsController,1,1213,ParticipationAuctionDetailsController
UNKNOWN_PATH::userCreatedAuctionListRepoInterface);,1,1219,userCreatedAuctionListRepoInterface);
UNKNOWN_PATH::userCreatedAuctionListServiceInterface);,1,1224,userCreatedAuctionListServiceInterface);
UNKNOWN_PATH::UserCreatedAuctionListController,1,1226,UserCreatedAuctionListController
UNKNOWN_PATH::auctionDashboardSummaryRepo);,1,1231,auctionDashboardSummaryRepo);
UNKNOWN_PATH::auctionDashboardSummaryService);,1,1235,auctionDashboardSummaryService);
UNKNOWN_PATH::transactionRepositoryInterface);,1,1242,transactionRepositoryInterface);
UNKNOWN_PATH::auctionTransactionRepositoryInterface);,1,1251,auctionTransactionRepositoryInterface);
UNKNOWN_PATH::auctionTransactionServiceInterface);,1,1255,auctionTransactionServiceInterface);
UNKNOWN_PATH::DioClient,1,1263,DioClient
UNKNOWN_PATH::LoggingInterceptor,1,1273,LoggingInterceptor
UNKNOWN_PATH::vendor_authRepoInterface);,1,1279,vendor_authRepoInterface);
UNKNOWN_PATH::bankInfoRepoInterface);,1,1283,bankInfoRepoInterface);
UNKNOWN_PATH::chatRepoInterface);,1,1286,chatRepoInterface);
UNKNOWN_PATH::couponRepoInterface);,1,1290,couponRepoInterface);
UNKNOWN_PATH::deliveryManRepoInterface);,1,1294,deliveryManRepoInterface);
UNKNOWN_PATH::emergencyContractRepoInterface);,1,1299,emergencyContractRepoInterface);
UNKNOWN_PATH::orderRepoInterface);,1,1302,orderRepoInterface);
UNKNOWN_PATH::productRepoInterface);,1,1306,productRepoInterface);
UNKNOWN_PATH::profileRepoInterface);,1,1310,profileRepoInterface);
UNKNOWN_PATH::refundRepoInterface);,1,1313,refundRepoInterface);
UNKNOWN_PATH::productReviewRepoInterface);,1,1317,productReviewRepoInterface);
UNKNOWN_PATH::businessRepoInterface);,1,1320,businessRepoInterface);
UNKNOWN_PATH::shippingRepoInterface);,1,1324,shippingRepoInterface);
UNKNOWN_PATH::addProductRepositoryInterface);,1,1328,addProductRepositoryInterface);
UNKNOWN_PATH::splashRepoInterface);,1,1332,splashRepoInterface);
UNKNOWN_PATH::transactionRepoInterface);,1,1336,transactionRepoInterface);
UNKNOWN_PATH::notificationRepoInterface);,1,1340,notificationRepoInterface);
UNKNOWN_PATH::walletRepoInterface);,1,1343,walletRepoInterface);
UNKNOWN_PATH::vendor_locationRepositoryInterface);,1,1347,vendor_locationRepositoryInterface);
UNKNOWN_PATH::vendor_cartRepositoryInterface);,1,1351,vendor_cartRepositoryInterface);
UNKNOWN_PATH::vendor_shopRepositoryInterface);,1,1355,vendor_shopRepositoryInterface);
UNKNOWN_PATH::vendor_orderDetailsRepositoryInterface);,1,1359,vendor_orderDetailsRepositoryInterface);
UNKNOWN_PATH::vendor_productDetailsRepositoryInterface);,1,1363,vendor_productDetailsRepositoryInterface);
UNKNOWN_PATH::barcodeRepositoryInterface);,1,1367,barcodeRepositoryInterface);
UNKNOWN_PATH::vendor_restockRepositoryInterface);,1,1371,vendor_restockRepositoryInterface);
UNKNOWN_PATH::clearanceSaleRepositoryInterface);,1,1375,clearanceSaleRepositoryInterface);
UNKNOWN_PATH::categoryRepositoryInterface);,1,1379,categoryRepositoryInterface);
UNKNOWN_PATH::vatRepositoryInterface);,1,1382,vatRepositoryInterface);
UNKNOWN_PATH::aiRepositoryInterface);,1,1385,aiRepositoryInterface);
UNKNOWN_PATH::orderEditRepositoryInterface);,1,1389,orderEditRepositoryInterface);
UNKNOWN_PATH::vendor_auctionAiRepositoryInterface);,1,1397,vendor_auctionAiRepositoryInterface);
UNKNOWN_PATH::auctionProductRepositoryInterface);,1,1401,auctionProductRepositoryInterface);
UNKNOWN_PATH::vendor_authServiceInterface);,1,1406,vendor_authServiceInterface);
UNKNOWN_PATH::bankInfoServiceInterface);,1,1410,bankInfoServiceInterface);
UNKNOWN_PATH::vendor_chatServiceInterface);,1,1413,vendor_chatServiceInterface);
UNKNOWN_PATH::vendor_couponServiceInterface);,1,1417,vendor_couponServiceInterface);
UNKNOWN_PATH::deliveryServiceInterface);,1,1421,deliveryServiceInterface);
UNKNOWN_PATH::emergencyServiceInterface);,1,1425,emergencyServiceInterface);
UNKNOWN_PATH::vendor_orderServiceInterface);,1,1428,vendor_orderServiceInterface);
UNKNOWN_PATH::vendor_productServiceInterface);,1,1432,vendor_productServiceInterface);
UNKNOWN_PATH::vendor_profileServiceInterface);,1,1436,vendor_profileServiceInterface);
UNKNOWN_PATH::vendor_refundServiceInterface);,1,1440,vendor_refundServiceInterface);
UNKNOWN_PATH::vendor_reviewServiceInterface);,1,1444,vendor_reviewServiceInterface);
UNKNOWN_PATH::businessServiceInterface);,1,1448,businessServiceInterface);
UNKNOWN_PATH::vendor_shippingServiceInterface);,1,1452,vendor_shippingServiceInterface);
UNKNOWN_PATH::addProductServiceInterface);,1,1456,addProductServiceInterface);
UNKNOWN_PATH::vendor_splashServiceInterface);,1,1460,vendor_splashServiceInterface);
UNKNOWN_PATH::vendor_transactionServiceInterface);,1,1464,vendor_transactionServiceInterface);
UNKNOWN_PATH::vendor_notificationServiceInterface);,1,1470,vendor_notificationServiceInterface);
UNKNOWN_PATH::vendor_walletServiceInterface);,1,1474,vendor_walletServiceInterface);
UNKNOWN_PATH::vendor_locationServiceInterface);,1,1478,vendor_locationServiceInterface);
UNKNOWN_PATH::vendor_cartServiceInterface);,1,1481,vendor_cartServiceInterface);
